98,81,69,62
77,21,78,11
50,8,82,41
50,15,13,4
30,68,21,46
54,2,34,82
92,58,88,4
26,67,19,45
1,72,74,42
26,12,3,71
62,31,61,79
34,67,84,23
56,72,41,67
82,98,4,30
20,24,50,94
33,15,71,0
77,82,10,7
94,51,31,19
33,56,83,95
11,25,85,34
92,6,73,75
27,16,37,58
0,43,7,80
6,89,48,21
55,10,22,74
17,79,5,70
4,98,65,15
22,51,90,59
59,99,28,52
15,72,36,38
83,29,49,11
21,35,95,82
18,33,69,67
87,38,29,33
89,58,92,65
72,15,24,28
43,84,70,55
77,30,33,49
57,39,78,28
99,58,56,88
65,85,72,5
88,14,23,47
46,19,44,35
39,13,51,4
88,86,22,89
80,37,68,90
55,9,49,45
22,75,93,10
38,21,85,18
23,19,73,63
98,85,25,73
61,99,85,24
54,51,1,59
15,84,34,15
92,50,94,89
61,19,37,69
2,4,5,54
95,92,39,10
89,55,52,10
50,92,62,69
89,7,58,98
77,9,49,93
39,20,91,35
78,69,28,58
69,9,70,27
91,78,16,44
48,80,11,62
20,27,11,53
3,77,4,19
59,15,19,92
16,29,56,59
98,57,48,36
80,40,14,34
26,4,99,98
1,82,66,91
61,6,79,6
22,10,15,98
20,81,98,56
40,12,31,25
20,2,4,82
2,27,94,28
61,55,74,44
87,19,25,39
96,78,93,83
17,52,54,0
76,93,36,87
77,41,90,69
84,73,94,16
53,17,71,40
20,78,42,25
89,23,0,68
48,23,68,12
87,56,27,0
42,57,53,48
89,42,16,3
86,45,61,70
60,64,58,51
78,87,9,16
16,34,72,99
45,69,78,93
